name,old_instrs,new_instrs,instr_delta,old_gas,new_gas,gas_delta,old_bytes,new_bytes,bytes_delta,notes
name,old_instrs,new_instrs,instr_delta,old_gas,new_gas,gas_delta,old_bytes,new_bytes,bytes_delta,notes
constant_fold_heavy,17,2,-15,24,7,-17,145,77,-68,instrΔ=-15 ✓ gasΔ=-17 ✓ bytesΔ=-68 ✓
arithmetic_chain,20,15,-5,39,30,-9,183,146,-37,instrΔ=-5 ✓ gasΔ=-9 ✓ bytesΔ=-37 ✓
conditional_logic,23,25,2,50,55,5,193,189,-4,instrΔ=2 ⬆ gasΔ=5 ⬆ bytesΔ=-4 ✓
dead_code_sample,14,2,-12,19,3,-16,127,65,-62,instrΔ=-12 ✓ gasΔ=-16 ✓ bytesΔ=-62 ✓
copy_chain,6,2,-4,7,3,-4,85,65,-20,instrΔ=-4 ✓ gasΔ=-4 ✓ bytesΔ=-20 ✓
peephole_targets,17,2,-15,24,3,-21,147,65,-82,instrΔ=-15 ✓ gasΔ=-21 ✓ bytesΔ=-82 ✓
simple_function,8,8,0,21,19,-2,117,108,-9,instrΔ=0 = gasΔ=-2 ✓ bytesΔ=-9 ✓
multi_function,18,15,-3,64,45,-19,210,173,-37,instrΔ=-3 ✓ gasΔ=-19 ✓ bytesΔ=-37 ✓
